"","Assay","OlinkID","UniProt","Panel","estimate","Healthy Control","Sporadic","statistic","p.value","parameter","conf.low","conf.high","method","alternative","Adjusted_pval","Threshold","Comparison","EVENT_ID","RBD +/- Hyposomia"
"16","PTX3","OID20570","P26022","Inflammation",-1.03536901960784,0.478513333333333,1.51388235294118,-6.31299846221142,3.62531681842496e-07,33.4676521527681,-1.3688645061264,-0.701873533089284,"Welch Two Sample t-test","two.sided",7.99339528155901e-06,"Significant","Healthy Control vs Sporadic","V10",NA
"17","AGRP","OID20658","O00253","Inflammation",-1.04261517027864,-0.0483210526315789,0.994294117647059,-6.71734338076032,3.69260108115498e-07,26.3724913639487,-1.36143970854979,-0.723790632007488,"Welch Two Sample t-test","two.sided",7.99339528155901e-06,"Significant","Healthy Control vs Sporadic","V10",NA
"18","CCL11","OID20668","P51671","Inflammation",0.671900773993808,0.356718421052632,-0.315182352941176,6.38482008774008,5.95475569505579e-07,28.5810730625513,0.456535766697374,0.887265781290242,"Welch Two Sample t-test","two.sided",1.21741671987807e-05,"Significant","Healthy Control vs Sporadic","V10",NA
"19","ANXA11","OID20583","P50995","Inflammation",-1.82779921568627,1.52890666666667,3.35670588235294,-6.15408731742697,7.20717034175605e-07,31.7210475714476,-2.43298881645272,-1.22260961491983,"Welch Two Sample t-test","two.sided",1.3959150977717e-05,"Significant","Healthy Control vs Sporadic","V10",NA
"20","NFATC3","OID20470","Q12968","Inflammation",1.16103472222222,0.580356944444444,-0.580677777777778,5.70660453853756,9.82907102989839e-07,42.8914649262041,0.750699468375434,1.57136997606901,"Welch Two Sample t-test","two.sided",1.8085490695013e-05,"Significant","Healthy Control vs Sporadic","V10",NA
"21","WNT9A","OID20460","O14904","Inflammation",0.622011111111111,1.12778888888889,0.505777777777778,5.55118036799155,1.0746618852677e-06,50.1120530228394,0.396964041963508,0.847058180258714,"Welch Two Sample t-test","two.sided",1.88321701799293e-05,"Significant","Healthy Control vs Sporadic","V10",NA
"22","ARNT","OID20432","P27540","Inflammation",0.902476388888889,-0.458473611111111,-1.36095,5.15735962148485,1.85331940067171e-06,77.9352690678625,0.554097351807255,1.25085542597052,"Welch Two Sample t-test","two.sided",3.10009790657813e-05,"Significant","Healthy Control vs Sporadic","V10",NA
"23","PARP1","OID20500","P09874","Inflammation",-1.15506305882353,0.433984,1.58904705882353,-5.91864002178291,2.27427516563584e-06,28.0131717649968,-1.55481524697253,-0.75531087067453,"Welch Two Sample t-test","two.sided",3.63884026501735e-05,"Significant","Healthy Control vs Sporadic","V10",NA
"24","CD4","OID20584","P01730","Inflammation",0.577301882352941,0.471196,-0.106105882352941,5.93088035491716,2.67659144049348e-06,26.6369462716722,0.377452713990265,0.777151050715618,"Welch Two Sample t-test","two.sided",3.98039602160319e-05,"Significant","Healthy Control vs Sporadic","V10",NA
"25","HCLS1","OID20648","P14317","Inflammation",-1.51039535603715,0.47911052631579,1.98950588235294,-5.78723028188137,2.73822307803722e-06,29.3502868018943,-2.04389835955233,-0.976892352521976,"Welch Two Sample t-test","two.sided",3.98039602160319e-05,"Significant","Healthy Control vs Sporadic","V10",NA
"26","TGFA","OID20600","P01135","Inflammation",-0.61156368627451,-0.339381333333333,0.272182352941176,-5.99888965216238,2.81223631961095e-06,25.17603240966,-0.821451292060712,-0.401676080488308,"Welch Two Sample t-test","two.sided",3.98039602160319e-05,"Significant","Healthy Control vs Sporadic","V10",NA
"27","MEPE","OID20753","Q9NQ76","Inflammation",0.425526576576576,0.777743243243243,0.352216666666667,5.48612178392189,3.11038722653809e-06,37.030405556805,0.268370960969364,0.582682192183789,"Welch Two Sample t-test","two.sided",4.23934259024451e-05,"Significant","Healthy Control vs Sporadic","V10",NA
"28","TPT1","OID20476","P13693","Inflammation",1.03000416666667,1.32187638888889,0.291872222222222,4.75553770709131,8.34737645582119e-06,82.1008697863952,0.599144642651323,1.46086369068201,"Welch Two Sample t-test","two.sided",0.000109708376276507,"Significant","Healthy Control vs Sporadic","V10",NA
"29","CXCL3","OID20788","P19876","Inflammation",-1.26141426426426,3.40716351351351,4.66857777777778,-4.95858053650163,1.51185062959576e-05,37.9890969991134,-1.77640514202638,-0.746423386502148,"Welch Two Sample t-test","two.sided",0.000191848631617669,"Significant","Healthy Control vs Sporadic","V10",NA
"30","PRDX5","OID20644","P30044","Inflammation",-1.98730944272446,1.15875526315789,3.14606470588235,-5.22101028054376,1.87552120170728e-05,26.0076401489007,-2.76970871786933,-1.20491016757959,"Welch Two Sample t-test","two.sided",0.000230063934076093,"Significant","Healthy Control vs Sporadic","V10",NA
"31","CCL24","OID20772","O00175","Inflammation",0.939305105105105,0.319216216216216,-0.620088888888889,4.81147751918174,2.01277335578827e-05,41.4145282998824,0.545166573229994,1.33344363698022,"Welch Two Sample t-test","two.sided",0.000235370074339165,"Significant","Healthy Control vs Sporadic","V10",NA
"32","KYNU","OID20669","Q16719","Inflammation",0.853008049535604,1.73693157894737,0.883923529411765,5.16677461658018,2.04669629860144e-05,26.5211802471706,0.513974935589113,1.19204116348209,"Welch Two Sample t-test","two.sided",0.000235370074339165,"Significant","Healthy Control vs Sporadic","V10",NA
"33","NBN","OID20442","O60934","Inflammation",0.818720833333333,0.491081944444444,-0.327638888888889,4.69321481861238,2.7112299259507e-05,43.3113455346306,0.466986508177296,1.17045515848937,"Welch Two Sample t-test","two.sided",0.000302343215984806,"Significant","Healthy Control vs Sporadic","V10",NA
"34","WAS","OID20479","P42768","Inflammation",1.70433055555556,3.11420277777778,1.40987222222222,4.65994561202988,3.38912652361989e-05,40.5623182467758,0.965460632787131,2.44320047832398,"Welch Two Sample t-test","two.sided",0.000366823106085918,"Significant","Healthy Control vs Sporadic","V10",NA
"35","ITM2A","OID20504","O43736","Inflammation",1.09899960784314,2.87544666666667,1.77644705882353,4.82354578998315,4.56336144636293e-05,27.8143413059416,0.63214889055658,1.56585032512969,"Welch Two Sample t-test","two.sided",0.00047980486064616,"Significant","Healthy Control vs Sporadic","V10",NA
"36","TIMP3","OID20684","P35625","Inflammation",-1.26360705705706,1.64060405405405,2.90421111111111,-4.36518944973223,8.29226108927108e-05,41.3691491703511,-1.84805244745749,-0.679161666656622,"Welch Two Sample t-test","two.sided",0.000847653355792155,"Significant","Healthy Control vs Sporadic","V10",NA
"37","CXCL6","OID20613","P80162","Inflammation",-1.12237159442724,1.57234605263158,2.69471764705882,-4.44611274970544,0.000101035453478513,31.5564706988649,-1.63685629803817,-0.607886890816318,"Welch Two Sample t-test","two.sided",0.00100489315892142,"Significant","Healthy Control vs Sporadic","V10",NA
"38","IFNG","OID20495","P01579","Inflammation",-1.80798055555556,-0.187680555555556,1.6203,-4.54456237268042,0.000159051905969672,22.0304461491709,-2.63297127118964,-0.98298983992147,"Welch Two Sample t-test","two.sided",0.00154029214202209,"Significant","Healthy Control vs Sporadic","V10",NA
"39","CSF1","OID20719","P09603","Inflammation",-0.328607357357357,0.00676486486486485,0.335372222222222,-4.1866615341185,0.000202453425032318,32.4500541118787,-0.488397535107373,-0.168817179607342,"Welch Two Sample t-test","two.sided",0.00187590586810354,"Significant","Healthy Control vs Sporadic","V10",NA
"40","CCL3","OID20610","P10147","Inflammation",-1.04271474509804,-0.479985333333333,0.562729411764706,-4.46333750081395,0.000203902811750385,21.5132367712063,-1.52784462287456,-0.557584867321518,"Welch Two Sample t-test","two.sided",0.00187590586810354,"Significant","Healthy Control vs Sporadic","V10",NA
"41","CRELD2","OID20751","Q6UXH1","Inflammation",-0.506686786786787,0.953874324324324,1.46056111111111,-3.99332275676253,0.000250250407641547,42.986016691396,-0.762574168133092,-0.250799405440482,"Welch Two Sample t-test","two.sided",0.00224615000029486,"Significant","Healthy Control vs Sporadic","V10",NA
"42","CCL22","OID20765","O00626","Inflammation",-0.627604954954955,0.177328378378378,0.804933333333333,-4.13203439632829,0.000280898852447994,28.8856460533529,-0.938303486849821,-0.316906423060089,"Welch Two Sample t-test","two.sided",0.00246120899287767,"Significant","Healthy Control vs Sporadic","V10",NA
"43","CXCL8","OID20631","P10145","Inflammation",0.606830263157895,1.27153026315789,0.6647,4.09561952503427,0.000298562871583987,29.6448444892688,0.304083479941445,0.909577046374344,"Welch Two Sample t-test","two.sided",0.00250863641412322,"Significant","Healthy Control vs Sporadic","V10",NA
"44","IL1RN","OID20700","P18510","Inflammation",-0.615647147147147,-0.789402702702703,-0.173755555555556,-4.06880925763038,0.000299945658210385,31.1216607874921,-0.924194842704562,-0.307099451589732,"Welch Two Sample t-test","two.sided",0.00250863641412322,"Significant","Healthy Control vs Sporadic","V10",NA
"45","NCLN","OID20448","Q969V3","Inflammation",0.7756625,0.865579166666667,0.0899166666666667,3.73723369282167,0.000333989668727766,86.1057812004407,0.363074174214914,1.18825082578509,"Welch Two Sample t-test","two.sided",0.00273129329092929,"Significant","Healthy Control vs Sporadic","V10",NA
"46","TANK","OID20474","Q92844","Inflammation",0.729980555555556,1.82789722222222,1.09791666666667,3.78094915442485,0.000374265185869115,57.4099586804559,0.34342823765507,1.11653287345604,"Welch Two Sample t-test","two.sided",0.00299412148695292,"Significant","Healthy Control vs Sporadic","V10",NA
"47","DNER","OID20712","Q8NFT8","Inflammation",-0.30986021021021,-0.104382432432432,0.205477777777778,-3.95854694075643,0.000423573312190848,30.230169417783,-0.469670614954575,-0.150049805465845,"Welch Two Sample t-test","two.sided",0.00331648891247303,"Significant","Healthy Control vs Sporadic","V10",NA
"48","PON3","OID20777","Q15166","Inflammation",0.312096096096096,0.799340540540541,0.487244444444444,3.85068387803431,0.00055634436216969,30.8090241591461,0.146752961517728,0.477439230674464,"Welch Two Sample t-test","two.sided",0.00426530677663429,"Significant","Healthy Control vs Sporadic","V10",NA
"49","MAPK9","OID20557","P45984","Inflammation",-0.395354745098039,0.438174666666667,0.833529411764706,-3.72671663793836,0.000640078008978774,37.3509865093223,-0.610238479952975,-0.180471010243104,"Welch Two Sample t-test","two.sided",0.00480711647559569,"Significant","Healthy Control vs Sporadic","V10",NA
"50","SLAMF7","OID20602","Q9NQ25","Inflammation",-0.814414196078431,0.0603093333333333,0.874723529411765,-3.84977391207788,0.000759420182918064,24.2326406978332,-1.25080729172201,-0.378021100434857,"Welch Two Sample t-test","two.sided",0.00558933254627695,"Significant","Healthy Control vs Sporadic","V10",NA
"51","TPSAB1","OID20642","Q15661","Inflammation",0.789392569659443,0.327063157894737,-0.462329411764706,3.85588940331022,0.000803639935487382,23.0089784797373,0.365898138906958,1.21288700041193,"Welch Two Sample t-test","two.sided",0.00579881365214425,"Significant","Healthy Control vs Sporadic","V10",NA
"52","NCF2","OID20567","P19878","Inflammation",-1.1870942745098,-1.32334133333333,-0.136247058823529,-3.72312590731325,0.000881884241695318,27.9001120196568,-1.84032081621774,-0.533867732801863,"Welch Two Sample t-test","two.sided",0.0062410269412284,"Significant","Healthy Control vs Sporadic","V10",NA
"53","OMD","OID20725","Q99983","Inflammation",0.489086486486487,0.579436486486486,0.09035,3.60456909963337,0.000949724364558142,35.5414341082728,0.213780920447986,0.764392052524987,"Welch Two Sample t-test","two.sided",0.00659431256900748,"Significant","Healthy Control vs Sporadic","V10",NA
"54","CKAP4","OID20617","Q07065","Inflammation",-0.284656578947368,0.469743421052632,0.7544,-3.61829068712921,0.00105057207944823,30.7465074720931,-0.445161920688188,-0.124151237206549,"Welch Two Sample t-test","two.sided",0.00715945417105462,"Significant","Healthy Control vs Sporadic","V10",NA
"55","ANGPTL2","OID20726","Q9UKU9","Inflammation",-0.478462462462462,0.531698648648649,1.01016111111111,-3.6258511236142,0.00122298083560689,26.1415834671342,-0.749635895226221,-0.207289029698704,"Welch Two Sample t-test","two.sided",0.00818285359096976,"Significant","Healthy Control vs Sporadic","V10",NA
"56","LILRB4","OID20429","Q8NHJ6","Inflammation",0.516723611111111,1.6936625,1.17693888888889,3.55166063286059,0.00125200082953411,30.8784199776915,0.219951743194329,0.813495479027894,"Welch Two Sample t-test","two.sided",0.00822743402265272,"Significant","Healthy Control vs Sporadic","V10",NA
"57","IL1RL2","OID20487","Q9HB29","Inflammation",-0.347044444444444,0.464422222222222,0.811466666666667,-3.46741452089177,0.00129102241295403,39.1661332060667,-0.54946283261779,-0.144626056271099,"Welch Two Sample t-test","two.sided",0.00833502189415935,"Significant","Healthy Control vs Sporadic","V10",NA
"58","STX8","OID20531","Q9UNK0","Inflammation",0.882818823529412,1.64136,0.758541176470588,3.54483134165748,0.00132776123876065,29.6030176900676,0.373917042286455,1.39172060477237,"Welch Two Sample t-test","two.sided",0.0084244161355848,"Significant","Healthy Control vs Sporadic","V10",NA
"59","FCAR","OID20564","P24071","Inflammation",-0.580728549019608,0.143377333333333,0.724105882352941,-3.65860236194808,0.00139325760073251,21.8532365461765,-0.91004185103468,-0.251415247004535,"Welch Two Sample t-test","two.sided",0.00849288252797168,"Significant","Healthy Control vs Sporadic","V10",NA
"60","ITGA11","OID20581","Q9UKX5","Inflammation",-0.467002352941176,-0.39492,0.0720823529411765,-3.59720065563112,0.00139437324219,24.8099595595831,-0.73448341512756,-0.199521290754793,"Welch Two Sample t-test","two.sided",0.00849288252797168,"Significant","Healthy Control vs Sporadic","V10",NA
"61","FABP9","OID20501","Q0Z7S8","Inflammation",-0.531214431372549,0.366197333333333,0.897411764705882,-3.50181753892591,0.00140778759295183,31.4451208805662,-0.840424637081558,-0.22200422566354,"Welch Two Sample t-test","two.sided",0.00849288252797168,"Significant","Healthy Control vs Sporadic","V10",NA
"62","TRAF2","OID20507","Q12933","Inflammation",1.139668,3.651968,2.5123,3.55685115306829,0.00147985575224833,25.7981857003048,0.48079495074121,1.79854104925879,"Welch Two Sample t-test","two.sided",0.00878365994882879,"Significant","Healthy Control vs Sporadic","V10",NA
"63","TPP1","OID20750","O14773","Inflammation",-0.436801201201201,0.223693243243243,0.660494444444444,-3.42196023746635,0.00174211931157704,31.4847888674697,-0.696975553499904,-0.176626848902498,"Welch Two Sample t-test","two.sided",0.0101761889946087,"Significant","Healthy Control vs Sporadic","V10",NA
"64","TNFSF13","OID20733","O75888","Inflammation",-0.321078378378378,0.662321621621622,0.9834,-3.44435138447521,0.00180539841786266,28.2692304864906,-0.511946582929054,-0.130210173827703,"Welch Two Sample t-test","two.sided",0.0103810409027103,"Significant","Healthy Control vs Sporadic","V10",NA
"65","FCRL3","OID20443","Q96P31","Inflammation",0.600618055555556,0.4331625,-0.167455555555556,3.34325301880803,0.00193486066919173,36.2011262441954,0.236339634073806,0.964896477037306,"Welch Two Sample t-test","two.sided",0.010954288096347,"Significant","Healthy Control vs Sporadic","V10",NA
"66","IL4","OID20426","P05112","Inflammation",-0.841520833333333,-0.934120833333333,-0.0926,-3.18508950672165,0.00200223252883181,87.9947815728582,-1.36657584415053,-0.31646582251614,"Welch Two Sample t-test","two.sided",0.0111639631910622,"Significant","Healthy Control vs Sporadic","V10",NA
"67","ISM1","OID20538","B1AKI9","Inflammation",0.434143529411765,0.93902,0.504876470588235,3.4439920965449,0.0020618697990005,24.624654151525,0.174320949260576,0.693966109562953,"Welch Two Sample t-test","two.sided",0.0113248968064505,"Significant","Healthy Control vs Sporadic","V10",NA
"68","NPPC","OID20568","P23582","Inflammation",0.474272941176471,1.15472,0.680447058823529,3.28699641647027,0.00241175602491663,32.9279618212276,0.180693139746536,0.767852742606405,"Welch Two Sample t-test","two.sided",0.013051856134843,"Significant","Healthy Control vs Sporadic","V10",NA
"69","IL18R1","OID20652","Q13478","Inflammation",-0.322661996904025,0.16991447368421,0.492576470588235,-3.25401497693069,0.00322347933904272,25.2857013723112,-0.526765023176293,-0.118558970631756,"Welch Two Sample t-test","two.sided",0.0171592209921217,"Significant","Healthy Control vs Sporadic","V10",NA
"70","HSD11B1","OID20575","P28845","Inflammation",-0.292696,0.189904,0.4826,-3.14476773164835,0.00326398225393618,37.1587467728709,-0.481254574057195,-0.104137425942805,"Welch Two Sample t-test","two.sided",0.0171592209921217,"Significant","Healthy Control vs Sporadic","V10",NA
"71","IL15","OID20562","P40933","Inflammation",-0.249689254901961,0.544881333333333,0.794570588235294,-3.19917905755304,0.00347922637804277,27.2822382979215,-0.409752866522721,-0.0896256432812006,"Welch Two Sample t-test","two.sided",0.0177570862631372,"Significant","Healthy Control vs Sporadic","V10",NA
"72","IFNLR1","OID20506","Q8IU57","Inflammation",-0.313181019607843,0.277701333333333,0.590882352941177,-3.19474768582564,0.00353071667432888,27.1536108539145,-0.514268674585749,-0.112093364629937,"Welch Two Sample t-test","two.sided",0.0177570862631372,"Significant","Healthy Control vs Sporadic","V10",NA
"73","PRKAB1","OID20444","Q9Y478","Inflammation",0.618905555555556,1.49332777777778,0.874422222222222,3.12166061960591,0.00354987542468169,35.7714206622505,0.216723077886407,1.0210880332247,"Welch Two Sample t-test","two.sided",0.0177570862631372,"Significant","Healthy Control vs Sporadic","V10",NA
"74","CXCL10","OID20697","P02778","Inflammation",-0.964039339339339,-0.150383783783784,0.813655555555556,-3.29768447750569,0.00357071843334825,20.1403492301021,-1.57357395441267,-0.354504724266008,"Welch Two Sample t-test","two.sided",0.0177570862631372,"Significant","Healthy Control vs Sporadic","V10",NA
"75","PDGFB","OID20741","P01127","Inflammation",-0.871743843843844,1.84532837837838,2.71707222222222,-3.12580471981739,0.00382266652714317,31.1506632263236,-1.4404245467725,-0.303063140915187,"Welch Two Sample t-test","two.sided",0.0187023562358326,"Significant","Healthy Control vs Sporadic","V10",NA
"76","IL6","OID20563","P05231","Inflammation",-0.687092470588235,0.408784,1.09587647058824,-3.17308267082523,0.00386244313566107,25.8988388888853,-1.13227700812141,-0.241907933055061,"Welch Two Sample t-test","two.sided",0.0187023562358326,"Significant","Healthy Control vs Sporadic","V10",NA
"77","LGALS4","OID20748","P56470","Inflammation",0.53847942942943,1.30299054054054,0.764511111111111,3.09313858821138,0.00463447074368544,26.4362299767495,0.180922845900682,0.896036012958177,"Welch Two Sample t-test","two.sided",0.0221491588789122,"Significant","Healthy Control vs Sporadic","V10",NA
"78","JUN","OID20424","P05412","Inflammation",0.344513888888889,0.209558333333333,-0.134955555555556,2.83947874659649,0.00583287867987008,73.8959880817158,0.102752979762409,0.586274798015369,"Welch Two Sample t-test","two.sided",0.0274822095985917,"Significant","Healthy Control vs Sporadic","V10",NA
"79","NUB1","OID20510","Q9Y5A7","Inflammation",-0.799863294117647,1.406472,2.20633529411765,-2.9249042590921,0.00608673891093002,34.1080772028981,-1.35554920473411,-0.244177383501182,"Welch Two Sample t-test","two.sided",0.0274822095985917,"Significant","Healthy Control vs Sporadic","V10",NA
"80","SPINK4","OID20509","O60575","Inflammation",-0.764790823529412,0.591868,1.35665882352941,-3.03124850440042,0.0060910444709817,22.2072877082574,-1.28775063887907,-0.241831008179748,"Welch Two Sample t-test","two.sided",0.0274822095985917,"Significant","Healthy Control vs Sporadic","V10",NA
"81","SCRN1","OID20542","Q12765","Inflammation",-0.478213098039216,0.484098666666667,0.962311764705882,-2.8748189186229,0.00617863941251411,44.5203777729866,-0.813349718438119,-0.143076477640312,"Welch Two Sample t-test","two.sided",0.0274822095985917,"Significant","Healthy Control vs Sporadic","V10",NA
"82","BTN3A2","OID20540","P78410","Inflammation",0.262470980392157,1.12215333333333,0.859682352941176,2.88494511276807,0.00619281168180306,41.3496637205596,0.0787812449881184,0.446160715796195,"Welch Two Sample t-test","two.sided",0.0274822095985917,"Significant","Healthy Control vs Sporadic","V10",NA
"83","AGRN","OID20786","O00468","Inflammation",-0.290288138138138,0.397022972972973,0.687311111111111,-2.89981013961669,0.00626065687173739,36.8376790409703,-0.493152155300741,-0.0874241209755352,"Welch Two Sample t-test","two.sided",0.0274822095985917,"Significant","Healthy Control vs Sporadic","V10",NA
"84","ENPP5","OID20736","Q9UJA9","Inflammation",0.452927327327327,0.353566216216216,-0.0993611111111111,2.99428599049322,0.0062731130605481,24.0988600133851,0.14080177503162,0.765052879623035,"Welch Two Sample t-test","two.sided",0.0274822095985917,"Significant","Healthy Control vs Sporadic","V10",NA
"85","GAL","OID20727","P22466","Inflammation",-0.548973423423423,0.336693243243243,0.885666666666667,-2.91743610599272,0.00693954362624385,27.5998891085285,-0.934673719584017,-0.16327312726283,"Welch Two Sample t-test","two.sided",0.0300441418171498,"Significant","Healthy Control vs Sporadic","V10",NA
"86","CTSO","OID20660","P43234","Inflammation",-0.336481424148607,0.0717421052631579,0.408223529411765,-2.90209994647345,0.00839629208494034,21.480767195891,-0.577272248292617,-0.0956906000045968,"Welch Two Sample t-test","two.sided",0.0353848396920383,"Significant","Healthy Control vs Sporadic","V10",NA
"87","MMP10","OID20687","P09238","Inflammation",0.570134234234234,0.427417567567568,-0.142716666666667,2.86954782506492,0.00842540864354364,24.0809486442712,0.160142830635044,0.980125637833424,"Welch Two Sample t-test","two.sided",0.0353848396920383,"Significant","Healthy Control vs Sporadic","V10",NA
"88","MYO9B","OID20451","Q13459","Inflammation",0.934569444444444,2.31961944444444,1.38505,2.82295061558269,0.00846159210027002,29.3347047669203,0.257808661356921,1.61133022753197,"Welch Two Sample t-test","two.sided",0.0353848396920383,"Significant","Healthy Control vs Sporadic","V10",NA
"89","TNFRSF13C","OID20480","Q96RJ3","Inflammation",0.369309722222222,0.4446375,0.0753277777777778,2.82984417802827,0.00869467082799056,26.9242699918974,0.101499676432378,0.637119768012066,"Welch Two Sample t-test","two.sided",0.0358490989860883,"Significant","Healthy Control vs Sporadic","V10",NA
"90","CCL23","OID20693","P55773","Inflammation",-0.324941591591592,0.0899972972972973,0.414938888888889,-2.79370494465518,0.00876744268681506,31.6771739023593,-0.561956244985605,-0.0879269381975779,"Welch Two Sample t-test","two.sided",0.0358490989860883,"Significant","Healthy Control vs Sporadic","V10",NA
"91","GBP2","OID20489","P32456","Inflammation",-0.450291666666667,-0.487213888888889,-0.0369222222222222,-2.73121135734594,0.00898292728292201,44.9552657460381,-0.782363689916214,-0.118219643417119,"Welch Two Sample t-test","two.sided",0.0361562206244368,"Significant","Healthy Control vs Sporadic","V10",NA
"92","CCL21","OID20686","O00585","Inflammation",-0.362791441441441,0.685391891891892,1.04818333333333,-2.81122315050044,0.00912490241180258,26.7329772344959,-0.627706238849258,-0.097876644033625,"Welch Two Sample t-test","two.sided",0.0361562206244368,"Significant","Healthy Control vs Sporadic","V10",NA
"93","HLA-DRA","OID20520","P01903","Inflammation",-0.390972156862745,-0.118813333333333,0.272158823529412,-2.78666542199809,0.00919036569660252,29.6938900495637,-0.677629095648494,-0.104315218076996,"Welch Two Sample t-test","two.sided",0.0361562206244368,"Significant","Healthy Control vs Sporadic","V10",NA
"94","PADI2","OID20467","Q9Y2J8","Inflammation",0.529563888888889,0.190230555555556,-0.339333333333333,2.65847679537875,0.00933004428607536,87.6310638647691,0.133676022707074,0.925451755070704,"Welch Two Sample t-test","two.sided",0.0361562206244368,"Significant","Healthy Control vs Sporadic","V10",NA
"95","SPINT2","OID20720","O43291","Inflammation",0.349292192192192,1.24663108108108,0.897338888888889,2.79326033644724,0.00933380695467797,27.8256140424228,0.0930702136796001,0.605514170704784,"Welch Two Sample t-test","two.sided",0.0361562206244368,"Significant","Healthy Control vs Sporadic","V10",NA
